pregunta,respuesta_1,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Qué equipo argentino ganó la primera Copa Libertadores?,A-Boca Juniors,B-Independiente,C-Racing Club,D-San Lorenzo,2
¿Quién es el máximo goleador histórico de la Primera División Argentina?,A-Carlos Bianchi,B-Martín Palermo,C-Arsenio Erico,D-Gabriel Batistuta,3
¿Qué equipo es conocido como 'El Ciclón'?,A-San Lorenzo,B-Huracán,C-Vélez Sarsfield,D-Lanús,1
¿En qué año debutó Diego Maradona en Primera División?,A-1976,B-1980,C-1978,D-1974,1
¿Qué club tiene el apodo de 'El Millonario'?,A-Independiente,B-River Plate,C-Boca Juniors,D-Racing Club,2
¿Quién marcó el famoso gol con 'La Mano de Dios'?,A-Gabriel Batistuta,B-Carlos Tevez,C-Diego Maradona,D-Lionel Messi,3
¿En qué estadio juega de local Rosario Central?,A-Monumental,B-Gigante de Arroyito,C-La Bombonera,D-Cilindro de Avellaneda,2
¿Qué equipo ganó el torneo Clausura 2002?,A-Independiente,B-Boca Juniors,C-River Plate,D-San Lorenzo,3
¿Qué club argentino es conocido como 'La Academia'?,A-Racing Club,B-Vélez Sarsfield,C-San Lorenzo,D-Huracán,1
¿Quién fue el DT de la Selección Argentina campeona en 1986?,A-César Luis Menotti,B-Carlos Bilardo,C-Marcelo Bielsa,D-Alejandro Sabella,2
¿En qué club debutó Lionel Messi?,A-River Plate,B-Rosario Central,C-Newell's Old Boys,D-Barcelona,3
¿Qué equipo argentino tiene más Copas Libertadores?,A-River Plate,B-Boca Juniors,C-Independiente,D-Racing Club,3
¿Qué jugador argentino es conocido como 'El Matador'?,A-Gabriel Batistuta,B-Mario Kempes,C-Claudio Caniggia,D-Hernán Crespo,2
¿Cuántas Copas Libertadores ha ganado Boca Juniors?,A-5,B-6,C-7,D-8,3
¿Qué jugador es el máximo goleador histórico de Boca Juniors?,A-Martín Palermo,B-Juan Román Riquelme,C-Diego Maradona,D-Carlos Tevez,1
¿Qué arquero argentino es famoso por atajar penales?,A-Sergio Goycochea,B-Emiliano Martínez,C-Ubaldo Fillol,D-Carlos Navarro Montoya,1
¿Cuál es el apodo de Independiente?,A-El Rojo,B-El Fortín,C-El Matador,D-El Canalla,1
¿Qué jugador argentino ganó el Balón de Oro en 2022?,A-Lionel Messi,B-Julián Álvarez,C-Ángel Di María,D-Enzo Fernández,1
¿Qué club tiene el estadio conocido como 'El Monumental'?,A-River Plate,B-Boca Juniors,C-Racing Club,D-Independiente,1
¿Qué equipo es conocido como 'Los Decanos'?,A-Atlético Tucumán,B-Godoy Cruz,C-Banfield,D-Defensa y Justicia,1
¿En qué club jugó Carlos Tevez antes de irse al Manchester United?,A-River Plate,B-Corinthians,C-Boca Juniors,D-West Ham,3
¿Qué selección eliminó a Argentina en el Mundial 2002?,A-Brasil,B-Suecia,C-Inglaterra,D-Alemania,2
¿Quién marcó el gol decisivo en la final del Mundial 2022?,A-Lionel Messi,B-Ángel Di María,C-Julián Álvarez,D-Gonzalo Montiel,4
¿Qué equipo argentino es conocido como 'El Fortín'?,A-Vélez Sarsfield,B-Lanús,C-Argentinos Juniors,D-Colón,1
¿Qué club tiene su estadio en Avellaneda junto a Racing Club?,A-Independiente,B-Lanús,C-San Lorenzo,D-Huracán,1
¿Quién dirigió a la Selección Argentina en el Mundial 2014?,A-Alejandro Sabella,B-Gerardo Martino,C-Marcelo Bielsa,D-Jorge Sampaoli,1
¿En qué club debutó Juan Román Riquelme?,A-Argentinos Juniors,B-Boca Juniors,C-River Plate,D-Villarreal,1
¿Qué equipo ganó el torneo Apertura 2001?,A-Racing Club,B-Independiente,C-San Lorenzo,D-Boca Juniors,1
¿Qué jugador argentino fue apodado 'El Pibe de Oro'?,A-Diego Maradona,B-Lionel Messi,C-Carlos Tevez,D-Javier Saviola,1
¿Qué jugador argentino fue apodado 'El Burrito'?,A-Ariel Ortega,B-Juan Román Riquelme,C-Diego Simeone,D-Lionel Scaloni,1
¿En qué estadio se jugó la final del Mundial 1978?,A-Gigante de Arroyito,B-Monumental,C-La Bombonera,D-Cilindro de Avellaneda,2
¿Qué equipo ganó el torneo Inicial 2013?,A-San Lorenzo,B-Boca Juniors,C-Lanús,D-River Plate,1
¿Quién es el máximo goleador de la historia de River Plate?,A-Norberto Alonso,B-Enzo Francescoli,C-Ángel Labruna,D-Hernán Crespo,3
¿Qué club es conocido como 'El Canalla'?,A-Rosario Central,B-Newell's Old Boys,C-Talleres,D-Banfield,1
¿Qué jugador argentino ganó el premio FIFA The Best en 2023?,A-Ángel Di María,B-Julián Álvarez,C-Lionel Messi,D-Enzo Fernández,3
¿En qué club jugó Gabriel Batistuta antes de ir a Italia?,A-River Plate,B-Boca Juniors,C-Newell's Old Boys,D-Huracán,4
¿Qué selección ganó el Mundial de 1978?,A-Brasil,B-Italia,C-Argentina,D-Holanda,3
¿Qué club argentino tiene el apodo 'El Globo'?,A-Huracán,B-Argentinos Juniors,C-San Lorenzo,D-Colón,1
¿Qué jugador es el máximo goleador de la historia de la Selección Argentina?,A-Gabriel Batistuta,B-Lionel Messi,C-Hernán Crespo,D-Diego Maradona,2
¿En qué estadio debutó Lionel Messi con la Selección Argentina?,A-Monumental,B-La Bombonera,C-Gigante de Arroyito,D-Nuevo Gasómetro,1
¿Qué club argentino ganó la primera Supercopa Sudamericana?,A-Independiente,B-River Plate,C-Boca Juniors,D-Racing Club,4
¿En qué club debutó Ángel Di María?,A-Rosario Central,B-River Plate,C-Benfica,D-Newell's Old Boys,1
¿Qué selección eliminó a Argentina en el Mundial 2018?,A-Francia,B-Croacia,C-Alemania,D-Brasil,1
¿Qué equipo ganó el torneo Apertura 2004?,A-Newell's Old Boys,B-Boca Juniors,C-River Plate,D-Vélez Sarsfield,1
¿Qué arquero argentino es apodado 'Dibu'?,A-Emiliano Martínez,B-Sergio Romero,C-Ubaldo Fillol,D-Carlos Roa,1
¿Qué jugador argentino marcó 5 goles en un partido de Champions League?,A-Lionel Messi,B-Sergio Agüero,C-Carlos Tevez,D-Ángel Di María,1
¿Qué club argentino ganó la Copa Sudamericana en 2013?,A-Lanús,B-San Lorenzo,C-Arsenal,D-Independiente,1
¿Qué jugador argentino es conocido como 'El Cholo'?,A-Diego Simeone,B-Javier Zanetti,C-Javier Mascherano,D-Lionel Scaloni,1
¿Qué club tiene el apodo de 'El Taladro'?,A-Banfield,B-Godoy Cruz,C-Colón,D-Huracán,1